c;sdmu_h;numgen;v;N;seed;init_pD;mu_h;init_pH;runtime;generation;meanpH;meanpD;varpH;varpD;freq_hawk;file
5;0.02;40000;1;5000;642064472;0.9;0.01;0.9;0;40000;0.34912;0.84644;0.0054908;0.0020976;0.1828;./hpcbatch_16_08_2017_230103/core_229/sim_hd_17_8_2017_102528_641659719
3;0.02;40000;1;5000;658274627;0.3;0.01;0.3;0;40000;0.35183;0.69503;0.0050545;0.0095198;0.3312;./hpcbatch_16_08_2017_230103/core_36/sim_hd_17_8_2017_082758_657900835
3;0.02;40000;1;5000;569284548;0.4;0.01;0.6;0;40000;0.44162;0.71082;0.014461;0.023728;0.3368;./hpcbatch_16_08_2017_230103/core_70/sim_hd_17_8_2017_083728_568965797
3;0.02;40000;1;5000;746287792;0.1;0.01;0.2;0;40000;0.096249;0.50354;0.0019184;0.0037997;0.3574;./hpcbatch_16_08_2017_230103/core_23/sim_hd_17_8_2017_082358_745906195
5;0.02;40000;1;5000;809523501;0.1;0.01;0;0;40000;0.38935;0.83908;0.027685;0.0045069;0.2036;./hpcbatch_16_08_2017_230103/core_122/sim_hd_17_8_2017_092358_809122321
3;0.02;40000;1;5000;547212768;0.4;0.01;0.2;0;40000;0.17324;0.56774;0.001677;0.0059097;0.3386;./hpcbatch_16_08_2017_230103/core_26/sim_hd_17_8_2017_082443_546869640
5;0.02;40000;1;5000;639196069;0.9;0.01;0.4;0;40000;0.5589;0.87863;0.0035424;0.008815;0.1802;./hpcbatch_16_08_2017_230103/core_174/sim_hd_17_8_2017_100830_638843544
3;0.02;40000;1;5000;841605802;0.9;0.01;0.2;0;40000;0.52772;0.75551;0.012123;0.017701;0.3356;./hpcbatch_16_08_2017_230103/core_31/sim_hd_17_8_2017_082628_841108454
3;0.02;40000;1;5000;278036067;0;0.01;0;0;40000;0.16487;0.54892;0.0039788;0.020748;0.3532;./hpcbatch_16_08_2017_230103/core_0/sim_hd_17_8_2017_081829_277555936
5;0.02;40000;1;5000;741687739;0;0.01;0;0;40000;0.44782;0.83687;0.011776;0.0044268;0.2296;./hpcbatch_16_08_2017_230103/core_121/sim_hd_17_8_2017_092343_741262122
