c;pinit;d;v;time;vh_1;vd_1;p;vd_0;rdd;rhd;rhh;f_1;f_0;vh_2;file
0.75;0.33;0.5;0.41;3012;1.18725;0.895518;0.670563;1.05159;0.03357;0.163821;0.194369;0.487297;0.0888406;0.941612;./core_311/iter_freqdep_16_9_2016_160358_266513611
0.75;0.33;1;0.41;2125;1.20306;0.93675;0.639591;1.06341;-0;-0;-0;0.508269;0.106286;0.890332;./core_311/iter_freqdep_16_9_2016_160358_406101416
0.77;0.33;0.1;0.41;3734;1.17506;0.864807;0.865157;1.03032;0.0119542;0.182092;0.676207;0.264805;0.0153159;0.992022;./core_311/iter_freqdep_16_9_2016_160358_530602808
0.77;0.33;0.5;0.41;2943;1.18625;0.89417;0.659041;1.0503;0.0359025;0.16763;0.189877;0.49727;0.0954701;0.939109;./core_311/iter_freqdep_16_9_2016_160358_729987609
0.77;0.33;1;0.41;2069;1.20148;0.934852;0.628304;1.06145;-0;-0;-0;0.516593;0.113411;0.885988;./core_311/iter_freqdep_16_9_2016_160358_900759538
0.79;0.33;0.1;0.41;3752;1.17506;0.864739;0.858438;1.0305;0.0132717;0.190825;0.669138;0.277086;0.0169565;0.991457;./core_311/iter_freqdep_16_9_2016_160359_6678103
0.79;0.33;0.5;0.41;2874;1.18531;0.892884;0.648068;1.04907;0.0381864;0.171106;0.185596;0.506275;0.102026;0.936685;./core_311/iter_freqdep_16_9_2016_160359_201249369
0.79;0.33;1;0.41;2018;1.19999;0.933056;0.617587;1.0596;-0;-0;-0;0.524023;0.120413;0.881778;./core_311/iter_freqdep_16_9_2016_160359_337832966
0.81;0.33;0.1;0.41;3771;1.17504;0.86465;0.851805;1.03066;0.0146452;0.199382;0.662177;0.289067;0.0186626;0.990887;./core_312/iter_freqdep_16_9_2016_160436_24067565
0.81;0.33;0.5;0.41;2808;1.18441;0.891656;0.637609;1.04789;0.0404189;0.17428;0.181513;0.514407;0.108497;0.934336;./core_312/iter_freqdep_16_9_2016_160436_345250834
0.81;0.33;1;0.41;1968;1.19858;0.931354;0.607399;1.05784;-0;-0;-0;0.530655;0.127284;0.877693;./core_312/iter_freqdep_16_9_2016_160436_575417810
0.83;0.33;0.1;0.41;3788;1.175;0.864541;0.845261;1.03079;0.0160719;0.207761;0.655324;0.300747;0.0204311;0.990313;./core_312/iter_freqdep_16_9_2016_160436_741174438
0.83;0.33;0.5;0.41;2747;1.18356;0.890482;0.627629;1.04677;0.0425983;0.177177;0.177614;0.521751;0.114874;0.932058;./core_312/iter_freqdep_16_9_2016_160437_36913938
0.83;0.33;1;0.41;1920;1.19724;0.929738;0.597703;1.05617;-0;-0;-0;0.536572;0.134022;0.873727;./core_312/iter_freqdep_16_9_2016_160437_190184124
0.85;0.33;0.1;0.41;3804;1.17495;0.864413;0.838805;1.03089;0.0175489;0.215958;0.64858;0.312123;0.0222586;0.989737;./core_312/iter_freqdep_16_9_2016_160437_347985113
0.85;0.33;0.5;0.41;2688;1.18275;0.88936;0.618098;1.04569;0.0447233;0.179824;0.173889;0.528383;0.121151;0.929846;./core_312/iter_freqdep_16_9_2016_160437_562123158
0.85;0.33;1;0.41;1871;1.19598;0.928202;0.588463;1.05458;-0;-0;-0;0.541851;0.140622;0.869873;./core_312/iter_freqdep_16_9_2016_160437_734512541
0.87;0.33;0.1;0.41;3819;1.17489;0.864268;0.832438;1.03096;0.0190733;0.223973;0.641946;0.323196;0.0241418;0.98916;./core_312/iter_freqdep_16_9_2016_160437_900310528
0.87;0.33;0.5;0.41;2630;1.18198;0.888287;0.608989;1.04466;0.0467936;0.18224;0.170326;0.534371;0.127323;0.927699;./core_313/iter_freqdep_16_9_2016_160415_155891893
0.87;0.33;1;0.41;1824;1.19478;0.926741;0.579648;1.05307;-0;-0;-0;0.546556;0.147085;0.866125;./core_313/iter_freqdep_16_9_2016_160415_275656703
0.89;0.33;0.1;0.41;3833;1.17481;0.864108;0.826162;1.03101;0.020642;0.231804;0.635421;0.333965;0.0260772;0.988582;./core_313/iter_freqdep_16_9_2016_160415_387537136
0.89;0.33;0.5;0.41;2573;1.18124;0.88726;0.600275;1.04367;0.0488091;0.184447;0.166916;0.539776;0.133386;0.925612;./core_313/iter_freqdep_16_9_2016_160415_594244935
0.89;0.33;1;0.41;1776;1.19363;0.925349;0.571228;1.05164;-0;-0;-0;0.550745;0.153409;0.862476;./core_313/iter_freqdep_16_9_2016_160415_766300804
0.91;0.33;0.1;0.41;3846;1.17472;0.863933;0.819977;1.03104;0.022252;0.23945;0.629006;0.344432;0.0280615;0.988004;./core_313/iter_freqdep_16_9_2016_160415_929457796
0.91;0.33;0.5;0.41;2516;1.18054;0.886277;0.591931;1.04273;0.0507701;0.186463;0.163649;0.544654;0.139337;0.923582;./core_313/iter_freqdep_16_9_2016_160416_180542216
0.91;0.33;1;0.41;1728;1.19255;0.924021;0.563179;1.05027;-0;-0;-0;0.554472;0.159595;0.858922;./core_313/iter_freqdep_16_9_2016_160416_373617794
0.93;0.33;0.1;0.41;3857;1.17462;0.863745;0.813883;1.03105;0.0239001;0.246912;0.6227;0.354599;0.0300914;0.987427;./core_313/iter_freqdep_16_9_2016_160416_538545062
0.93;0.33;0.5;0.41;2460;1.17986;0.885334;0.583936;1.04182;0.0526772;0.188303;0.160518;0.549052;0.145175;0.921607;./core_313/iter_freqdep_16_9_2016_160416_774043885
0.93;0.33;1;0.41;1679;1.19151;0.922753;0.555476;1.04896;-0;-0;-0;0.55778;0.165644;0.855458;./core_314/iter_freqdep_16_9_2016_160410_254273627
0.95;0.33;0.1;0.41;3868;1.17451;0.863545;0.807881;1.03105;0.0255833;0.254189;0.616503;0.364467;0.0321634;0.986852;./core_314/iter_freqdep_16_9_2016_160410_367994142
0.95;0.33;0.5;0.41;2403;1.17922;0.88443;0.576268;1.04096;0.0545314;0.189982;0.157514;0.553014;0.150899;0.919684;./core_314/iter_freqdep_16_9_2016_160410_636290740
0.95;0.33;1;0.41;1630;1.19053;0.921541;0.548098;1.04771;-0;-0;-0;0.56071;0.171557;0.85208;./core_314/iter_freqdep_16_9_2016_160410_792675061
0.97;0.33;0.1;0.41;3878;1.17439;0.863334;0.801972;1.03102;0.0272985;0.261281;0.610415;0.37404;0.0342742;0.98628;./core_314/iter_freqdep_16_9_2016_160410_928392743
0.97;0.33;0.5;0.41;2347;1.17861;0.883563;0.568909;1.04012;0.0563335;0.191514;0.154631;0.556582;0.156508;0.917811;./core_314/iter_freqdep_16_9_2016_160411_180035793
0.97;0.33;1;0.41;1578;1.18958;0.920382;0.541024;1.04651;-0;-0;-0;0.5633;0.177336;0.848784;./core_314/iter_freqdep_16_9_2016_160412_82613255
0.99;0.33;0.1;0.41;3887;1.17426;0.863114;0.796154;1.03098;0.0290427;0.268189;0.604435;0.383321;0.0364206;0.985711;./core_314/iter_freqdep_16_9_2016_160412_197842505
0.99;0.33;0.5;0.41;2290;1.17802;0.882729;0.561841;1.03932;0.0580849;0.192912;0.151861;0.559789;0.162004;0.915985;./core_314/iter_freqdep_16_9_2016_160412_483951614
0.99;0.33;1;0.41;1524;1.18868;0.919272;0.534235;1.04537;-0;-0;-0;0.565582;0.182983;0.845565;./core_314/iter_freqdep_16_9_2016_160412_611424831
0.01;0.33;0.1;0.43;805;1.16402;0.82755;0.999881;0.987899;1.36402e-07;0.00055433;0.550952;0.000921032;1.96654e-07;1;./core_315/iter_freqdep_16_9_2016_160405_631204236
0.01;0.33;0.5;0.43;391;1.1522;0.809168;0.9999;0.944221;1.42228e-07;0.000374313;0.245869;0.00125996;3.67464e-07;1.00002;./core_315/iter_freqdep_16_9_2016_160405_731085885
0.01;0.33;1;0.43;272;1.1396;0.789998;0.9999;0.89819;-0;-0;-0;0.000786847;1.43874e-07;1.00003;./core_315/iter_freqdep_16_9_2016_160405_838497509
0.03;0.33;0.1;0.43;817;1.16481;0.828747;0.999689;0.989491;2.35989e-07;0.000736675;0.561624;0.00121727;3.38626e-07;1;./core_315/iter_freqdep_16_9_2016_160405_925390595
0.03;0.33;0.5;0.43;402;1.15574;0.814668;0.9999;0.951039;1.355e-07;0.000368254;0.24976;0.00123764;3.50151e-07;1.00002;./core_315/iter_freqdep_16_9_2016_160406_8660037
0.03;0.33;1;0.43;280;1.14623;0.799987;0.9999;0.909549;-0;-0;-0;0.00108327;2.68514e-07;1.00003;./core_315/iter_freqdep_16_9_2016_160406_84209700
0.05;0.33;0.1;0.43;830;1.16559;0.829942;0.999592;0.991075;2.93446e-07;0.000829923;0.572545;0.0013651;4.20386e-07;1;./core_315/iter_freqdep_16_9_2016_160406_119520206
0.05;0.33;0.5;0.43;414;1.15924;0.820169;0.9999;0.957849;7.90881e-08;0.000283571;0.253729;0.000952727;2.05291e-07;1.00001;./core_315/iter_freqdep_16_9_2016_160406_200135342
0.05;0.33;1;0.43;289;1.1524;0.80999;0.9999;0.920916;-0;-0;-0;0.000489985;5.48091e-08;1.00001;./core_315/iter_freqdep_16_9_2016_160406_293650831
0.07;0.33;0.1;0.43;844;1.16636;0.831138;0.99955;0.992656;3.15746e-07;0.000869714;0.583684;0.00142449;4.52104e-07;1;./core_315/iter_freqdep_16_9_2016_160406_356943670
0.07;0.33;0.5;0.43;427;1.16275;0.825675;0.9999;0.964665;2.98558e-08;0.00017559;0.257741;0.00059093;7.84225e-08;1;./core_316/iter_freqdep_16_9_2016_160402_242041620
0.07;0.33;1;0.43;299;1.15846;0.819995;0.9999;0.932289;-0;-0;-0;0.00017383;7.10816e-09;1;./core_316/iter_freqdep_16_9_2016_160402_353959600
0.09;0.33;0.1;0.43;859;1.16713;0.832333;0.999522;0.994237;3.27701e-07;0.0008951;0.594999;0.00145982;4.69026e-07;1;./core_316/iter_freqdep_16_9_2016_160402_443357717
0.09;0.33;0.5;0.43;441;1.16633;0.83119;0.9999;0.971505;1.0223e-08;0.000103528;0.261757;0.000350012;2.74951e-08;1;./core_316/iter_freqdep_16_9_2016_160402_521113732
0.09;0.33;1;0.43;309;1.16498;0.829998;0.9999;0.943661;-0;-0;-0;5.05694e-05;8.19988e-10;1;./core_316/iter_freqdep_16_9_2016_160402_604901270
0.11;0.33;0.1;0.43;875;1.1679;0.833528;0.999468;0.995817;3.60519e-07;0.000948413;0.606439;0.00154005;5.15705e-07;0.999999;./core_316/iter_freqdep_16_9_2016_160402_680273601
0.11;0.33;0.5;0.43;456;1.16999;0.836706;0.9999;0.978359;1.58006e-08;0.000129703;0.265729;0.000436451;4.19912e-08;0.999999;./core_316/iter_freqdep_16_9_2016_160402_760652622
0.11;0.33;1;0.43;320;1.1721;0.839968;0.9999;0.955001;-0;-0;-0;0.000624974;8.56038e-08;0.999996;./core_316/iter_freqdep_16_9_2016_160402_835713110
0.13;0.33;0.1;0.43;893;1.16867;0.834735;0.999706;0.997405;1.88755e-07;0.000693325;0.61847;0.00112258;2.71142e-07;0.999998;./core_316/iter_freqdep_16_9_2016_160402_869682547
0.13;0.33;0.5;0.43;472;1.17348;0.842175;0.9999;0.98514;9.3997e-08;0.00031877;0.269602;0.00106331;2.43452e-07;0.999992;./core_316/iter_freqdep_16_9_2016_160402_948839810
0.13;0.33;1;0.43;332;1.17847;0.84992;0.9999;0.966322;-0;-0;-0;0.00129496;3.60739e-07;0.999982;./core_317/iter_freqdep_16_9_2016_160417_252497913
0.15;0.33;0.1;0.43;911;1.16944;0.83592;0.999456;0.998978;3.49262e-07;0.000952592;0.629958;0.00153374;4.9957e-07;0.999996;./core_317/iter_freqdep_16_9_2016_160417_370796054
0.15;0.33;0.5;0.43;490;1.17705;0.84768;0.9999;0.991966;8.65474e-08;0.000308186;0.273648;0.0010265;2.2431e-07;0.999987;./core_317/iter_freqdep_16_9_2016_160417_525077489
0.15;0.33;1;0.43;346;1.18565;0.859978;0.9999;0.977749;-0;-0;-0;0.000303397;2.00536e-08;0.999993;./core_317/iter_freqdep_16_9_2016_160417_622103733
0.17;0.33;0.1;0.43;931;1.17021;0.837113;0.999382;1.00056;3.98743e-07;0.0010281;0.641869;0.00164781;5.69898e-07;0.999994;./core_317/iter_freqdep_16_9_2016_160417_726445769
0.17;0.33;0.5;0.43;510;1.18069;0.853209;0.9999;0.99883;4.51726e-08;0.000224321;0.277778;0.000747364;1.1786e-07;0.999987;./core_317/iter_freqdep_16_9_2016_160417_839242706
0.17;0.33;1;0.43;361;1.19266;0.86998;0.9999;0.989119;-0;-0;-0;0.000246827;1.32373e-08;0.999992;./core_317/iter_freqdep_16_9_2016_160417_912309023
0.19;0.33;0.1;0.43;953;1.17097;0.83831;0.999387;1.00214;3.81858e-07;0.0010163;0.654086;0.00162188;5.4584e-07;0.999992;./core_317/iter_freqdep_16_9_2016_160417_974265946
0.19;0.33;0.5;0.43;532;1.18432;0.858728;0.9999;1.00568;3.51437e-08;0.000199326;0.28189;0.000663538;9.19632e-08;0.999986;./core_317/iter_freqdep_16_9_2016_160418_75019242
0.19;0.33;1;0.43;377;1.19773;0.879863;0.9999;1.00037;-0;-0;-0;0.00146227;4.44022e-07;0.999943;./core_317/iter_freqdep_16_9_2016_160418_145951333
0.21;0.33;0.1;0.43;977;1.17174;0.839505;0.999377;1.00372;3.76794e-07;0.00101973;0.666462;0.00162022;5.386e-07;0.999991;./core_318/iter_freqdep_16_9_2016_160448_211336622
0.21;0.33;0.5;0.43;556;1.18766;0.864164;0.999992;1.0124;1.18289e-07;0.00036836;0.285867;0.00121976;3.057e-07;0.999968;./core_318/iter_freqdep_16_9_2016_160448_429532077
0.21;0.33;1;0.43;396;1.20453;0.889918;0.9999;1.01179;-0;-0;-0;0.000787582;1.27894e-07;0.999963;./core_318/iter_freqdep_16_9_2016_160448_641132210
0.23;0.33;0.1;0.43;1004;1.17252;0.840712;0.999521;1.00531;2.54404e-07;0.000846455;0.67931;0.00133985;3.64445e-07;0.999991;./core_318/iter_freqdep_16_9_2016_160448_829222192
0.23;0.33;0.5;0.43;583;1.19109;0.869611;0.999656;1.01915;2.39242e-07;0.000527607;0.289872;0.00174179;6.15563e-07;0.999947;./core_318/iter_freqdep_16_9_2016_160449_34801619
0.23;0.33;1;0.43;417;1.21094;0.899899;0.9999;1.02314;-0;-0;-0;0.000874609;1.55813e-07;0.999951;./core_318/iter_freqdep_16_9_2016_160449_202499060
0.25;0.33;0.1;0.43;1033;1.17328;0.841902;0.999428;1.00688;3.09235e-07;0.000942572;0.691919;0.00148472;4.42429e-07;0.999989;./core_318/iter_freqdep_16_9_2016_160449_318189670
0.25;0.33;0.5;0.43;615;1.19493;0.875214;0.9999;1.02612;5.7105e-08;0.000259696;0.294271;0.000858583;1.48476e-07;0.99997;./core_318/iter_freqdep_16_9_2016_160449_483208345
0.25;0.33;1;0.43;441;1.21738;0.909885;0.9999;1.0345;-0;-0;-0;0.00090553;1.65127e-07;0.999942;./core_318/iter_freqdep_16_9_2016_160449_745858676
0.27;0.33;0.1;0.43;1065;1.17404;0.843084;0.999233;1.00845;4.58587e-07;0.00115919;0.70451;0.00181645;6.54663e-07;0.999984;./core_318/iter_freqdep_16_9_2016_160450_73967182
0.27;0.33;0.5;0.43;650;1.19816;0.880609;0.999618;1.03278;2.08108e-07;0.000499237;0.298253;0.00164279;5.35719e-07;0.999935;./core_319/iter_freqdep_16_9_2016_160451_971936840
0.27;0.33;1;0.43;469;1.22448;0.919922;0.9999;1.0459;-0;-0;-0;0.00056559;6.40591e-08;0.999959;./core_319/iter_freqdep_16_9_2016_160452_748317939
0.29;0.33;0.1;0.43;1103;1.17482;0.844293;0.999381;1.01004;3.15692e-07;0.000971596;0.717988;0.00151638;4.51505e-07;0.999985;./core_319/iter_freqdep_16_9_2016_160453_504945320
0.29;0.33;0.5;0.43;692;1.20178;0.886137;0.999713;1.03964;1.44187e-07;0.00041856;0.302547;0.00137582;3.71923e-07;0.999939;./core_319/iter_freqdep_16_9_2016_160454_299886723
0.29;0.33;1;0.43;501;1.22997;0.929809;0.999971;1.05715;-0;-0;-0;0.00127541;3.19769e-07;0.999898;./core_319/iter_freqdep_16_9_2016_160455_81179636
0.31;0.33;0.1;0.43;1145;1.17557;0.845474;0.999206;1.0116;4.48448e-07;0.00116945;0.730996;0.00181564;6.40102e-07;0.999981;./core_319/iter_freqdep_16_9_2016_160455_831699816
0.31;0.33;0.5;0.43;741;1.20519;0.89158;0.999451;1.04637;2.36546e-07;0.000539843;0.306682;0.00176987;6.0842e-07;0.999914;./core_319/iter_freqdep_16_9_2016_160456_695417078
0.31;0.33;1;0.43;540;1.23648;0.939809;0.99994;1.06852;-0;-0;-0;0.00118358;2.7254e-07;0.999896;./core_319/iter_freqdep_16_9_2016_160457_473014903
0.33;0.33;0.1;0.43;1196;1.17635;0.846676;0.999264;1.01319;3.77598e-07;0.00108395;0.744718;0.00167542;5.39378e-07;0.999981;./core_319/iter_freqdep_16_9_2016_160458_68964774
0.33;0.33;0.5;0.43;802;1.20889;0.897144;0.999649;1.05328;1.25261e-07;0.000395673;0.311094;0.0012964;3.23321e-07;0.999931;./core_319/iter_freqdep_16_9_2016_160458_683205889
0.33;0.33;1;0.43;588;1.24312;0.949824;0.999948;1.07991;-0;-0;-0;0.00101277;1.97626e-07;0.999902;./core_320/iter_freqdep_16_9_2016_160418_141423321
0.35;0.33;0.1;0.43;1257;1.17711;0.847867;0.999193;1.01476;4.2221e-07;0.00115762;0.75836;0.00178051;6.02707e-07;0.999978;./core_320/iter_freqdep_16_9_2016_160418_230082501
0.35;0.33;0.5;0.43;877;1.21221;0.902551;0.999294;1.05997;2.59509e-07;0.000573391;0.315225;0.00187303;6.67086e-07;0.999892;./core_320/iter_freqdep_16_9_2016_160418_352156527
0.35;0.33;1;0.43;648;1.24895;0.95968;0.999491;1.09112;-0;-0;-0;0.00172666;5.67058e-07;0.99982;./core_320/iter_freqdep_16_9_2016_160418_482729221
0.37;0.33;0.1;0.43;1335;1.17787;0.849059;0.999153;1.01634;4.3795e-07;0.00119079;0.772294;0.00182262;6.24949e-07;0.999975;./core_320/iter_freqdep_16_9_2016_160418_612505628
0.37;0.33;0.5;0.43;978;1.21574;0.908046;0.999251;1.06678;2.50754e-07;0.000567562;0.31956;0.00185081;6.44599e-07;0.999885;./core_320/iter_freqdep_16_9_2016_160418_732819530
0.37;0.33;1;0.43;730;1.25543;0.969679;0.99946;1.10248;-0;-0;-0;0.00162342;4.96145e-07;0.999817;./core_320/iter_freqdep_16_9_2016_160418_862843907
0.39;0.33;0.1;0.43;1442;1.17863;0.850248;0.999074;1.01791;4.9283e-07;0.00127577;0.786346;0.00194289;7.02734e-07;0.999972;./core_320/iter_freqdep_16_9_2016_160418_990061201
0.39;0.33;0.5;0.43;1125;1.21928;0.913546;0.99922;1.0736;2.35391e-07;0.000553712;0.323933;0.00180259;6.0516e-07;0.99988;./core_320/iter_freqdep_16_9_2016_160419_161789910
0.39;0.33;1;0.43;851;1.26185;0.979662;0.999382;1.11383;-0;-0;-0;0.0016077;4.81567e-07;0.999805;./core_320/iter_freqdep_16_9_2016_160419_320312509
0.41;0.33;0.1;0.43;1618;1.17939;0.851442;0.999049;1.01949;4.93481e-07;0.0012894;0.800766;0.001954;7.03406e-07;0.99997;./core_321/iter_freqdep_16_9_2016_160452_1672878
0.41;0.33;0.5;0.43;1383;1.22277;0.91902;0.999111;1.08038;2.59919e-07;0.00058582;0.328287;0.00190341;6.6769e-07;0.999865;./core_321/iter_freqdep_16_9_2016_160452_837048185
0.41;0.33;1;0.43;1068;1.26812;0.989601;0.999199;1.12514;-0;-0;-0;0.00179488;5.93868e-07;0.999768;./core_321/iter_freqdep_16_9_2016_160453_655143295
0.43;0.33;0.1;0.43;2258;1.18016;0.852633;0.999004;1.02106;5.14869e-07;0.00133022;0.815362;0.00200571;7.32941e-07;0.999967;./core_321/iter_freqdep_16_9_2016_160454_460122446
0.43;0.33;0.5;0.43;3351;1.22624;0.924486;0.998979;1.08715;2.98557e-07;0.000632102;0.332653;0.00204975;7.65286e-07;0.999845;./core_321/iter_freqdep_16_9_2016_160455_342420402
0.43;0.33;1;0.43;2340;1.2744;0.999529;0.999005;1.13643;-0;-0;-0;0.00200437;7.31975e-07;0.999725;./core_321/iter_freqdep_16_9_2016_160456_193604397
0.45;0.33;0.1;0.43;3167;1.18066;0.853208;0.992028;1.02206;3.31647e-05;0.0106395;0.810387;0.0159836;4.66733e-05;0.999724;./core_321/iter_freqdep_16_9_2016_160457_88859223
0.45;0.33;0.5;0.43;3979;1.22418;0.922439;0.972545;1.08546;0.000217493;0.0167313;0.319766;0.053928;0.000552849;0.995769;./core_321/iter_freqdep_16_9_2016_160457_860992275
0.45;0.33;1;0.43;3408;1.26785;0.993172;0.965083;1.12983;-0;-0;-0;0.0680562;0.000894142;0.990336;./core_321/iter_freqdep_16_9_2016_160458_567969467
0.47;0.33;0.1;0.43;3191;1.18119;0.853693;0.984234;1.02301;0.000131702;0.0210822;0.802848;0.0316472;0.000184122;0.999425;./core_321/iter_freqdep_16_9_2016_160459_10725460
0.47;0.33;0.5;0.43;3928;1.22234;0.920113;0.946489;1.08348;0.000834486;0.032148;0.307551;0.103198;0.00211853;0.991586;./core_322/iter_freqdep_16_9_2016_160446_959969627
0.47;0.33;1;0.43;3277;1.26236;0.986978;0.933165;1.12339;-0;-0;-0;0.127072;0.00330463;0.981314;./core_322/iter_freqdep_16_9_2016_160447_354598956
0.49;0.33;0.1;0.43;3211;1.1817;0.854137;0.976513;1.0239;0.0002967;0.0314635;0.795271;0.0471975;0.000412248;0.999102;./core_322/iter_freqdep_16_9_2016_160447_675246960
0.49;0.33;0.5;0.43;3870;1.22048;0.917743;0.921722;1.08142;0.00180043;0.0463738;0.296422;0.148227;0.00457072;0.987469;./core_322/iter_freqdep_16_9_2016_160448_25631532
0.49;0.33;1;0.43;3158;1.25738;0.981321;0.903852;1.1175;-0;-0;-0;0.178516;0.00689498;0.97285;./core_322/iter_freqdep_16_9_2016_160448_352103927
0.51;0.33;0.1;0.43;3230;1.18216;0.854541;0.968874;1.02474;0.000528693;0.0417624;0.787699;0.0626002;0.000730295;0.998754;./core_322/iter_freqdep_16_9_2016_160448_591582380
0.51;0.33;0.5;0.43;3805;1.21863;0.91537;0.898227;1.0793;0.00306384;0.059471;0.286221;0.18925;0.00778567;0.98344;./core_322/iter_freqdep_16_9_2016_160448_901708196
0.51;0.33;1;0.43;3047;1.25283;0.976137;0.876839;1.1121;-0;-0;-0;0.223533;0.0114;0.96488;./core_322/iter_freqdep_16_9_2016_160449_228624450
0.53;0.33;0.1;0.43;3249;1.18259;0.854906;0.961318;1.02553;0.000828002;0.0519694;0.780147;0.0778384;0.00113734;0.998384;./core_322/iter_freqdep_16_9_2016_160449_460894222
0.53;0.33;0.5;0.43;3738;1.2168;0.913023;0.875963;1.07718;0.00457543;0.0715101;0.27682;0.226545;0.0116474;0.979517;./core_322/iter_freqdep_16_9_2016_160449_806047296
0.53;0.33;1;0.43;2944;1.24868;0.971368;0.851864;1.10714;-0;-0;-0;0.263064;0.0166095;0.957349;./core_323/iter_freqdep_16_9_2016_160455_500242642
0.55;0.33;0.1;0.43;3269;1.18297;0.855232;0.953844;1.02627;0.00119474;0.0620769;0.772625;0.0928983;0.00163229;0.997993;./core_323/iter_freqdep_16_9_2016_160456_391158449
0.55;0.33;0.5;0.43;3668;1.21501;0.910722;0.85488;1.07508;0.00628966;0.0825644;0.26811;0.260404;0.01605;0.975708;./core_323/iter_freqdep_16_9_2016_160457_261645399
0.55;0.33;1;0.43;2849;1.24486;0.966967;0.828706;1.10257;-0;-0;-0;0.297887;0.0223561;0.950213;./core_323/iter_freqdep_16_9_2016_160458_35207135
0.57;0.33;0.1;0.43;3288;1.18332;0.85552;0.946453;1.02695;0.00162881;0.0720786;0.765143;0.107768;0.00221391;0.997581;./core_323/iter_freqdep_16_9_2016_160458_637759172
0.57;0.33;0.5;0.43;3598;1.21328;0.908484;0.834921;1.07301;0.00816556;0.0927067;0.260005;0.291114;0.0208985;0.97202;./core_323/iter_freqdep_16_9_2016_160459_83444157
0.57;0.33;1;0.43;2759;1.24134;0.962895;0.807173;1.09833;-0;-0;-0;0.328653;0.0285064;0.943433;./core_323/iter_freqdep_16_9_2016_160459_471365209
0.59;0.33;0.1;0.43;3307;1.18364;0.855772;0.939144;1.02759;0.00212991;0.0819682;0.757707;0.122437;0.00288078;0.997151;./core_323/iter_freqdep_16_9_2016_160459_883661183
0.59;0.33;0.5;0.43;3527;1.21162;0.906316;0.816025;1.071;0.010167;0.102008;0.252433;0.318954;0.0261087;0.968452;./core_323/iter_freqdep_16_9_2016_160500_515461963
0.59;0.33;1;0.43;2676;1.23808;0.959115;0.7871;1.0944;-0;-0;-0;0.355907;0.034953;0.936974;./core_323/iter_freqdep_16_9_2016_160501_57818882
0.61;0.33;0.1;0.43;3326;1.18392;0.855989;0.931917;1.02818;0.00269751;0.0917399;0.750326;0.136894;0.00363135;0.996702;./core_324/iter_freqdep_16_9_2016_162621_380876210
0.61;0.33;0.5;0.43;3456;1.21002;0.904225;0.798133;1.06905;0.0122628;0.110535;0.245334;0.344186;0.0316071;0.965006;./core_324/iter_freqdep_16_9_2016_162621_699103407
0.61;0.33;1;0.43;2598;1.23507;0.955599;0.768343;1.09075;-0;-0;-0;0.380107;0.04161;0.930808;./core_324/iter_freqdep_16_9_2016_162622_42205324
0.63;0.33;0.1;0.43;3346;1.18417;0.856172;0.924772;1.02873;0.00333089;0.101388;0.743005;0.15113;0.00446389;0.996238;./core_324/iter_freqdep_16_9_2016_162622_376106520
0.63;0.33;0.5;0.43;3385;1.20849;0.902214;0.781184;1.06716;0.014426;0.118352;0.238659;0.367056;0.03733;0.961678;./core_324/iter_freqdep_16_9_2016_162622_752662653
0.63;0.33;1;0.43;2522;1.23227;0.952319;0.750777;1.08734;-0;-0;-0;0.401643;0.0484082;0.924908;./core_324/iter_freqdep_16_9_2016_162623_111104079
0.65;0.33;0.1;0.43;3365;1.18439;0.856321;0.917709;1.02923;0.00402912;0.110907;0.73575;0.165135;0.00537654;0.995758;./core_324/iter_freqdep_16_9_2016_162623_375245994
0.65;0.33;0.5;0.43;3316;1.20703;0.900285;0.76512;1.06534;0.016634;0.125518;0.232367;0.387787;0.0432226;0.958466;./core_324/iter_freqdep_16_9_2016_162623_678079741
0.65;0.33;1;0.43;2453;1.22966;0.949253;0.734293;1.08416;-0;-0;-0;0.420846;0.0552918;0.919253;./core_324/iter_freqdep_16_9_2016_162623_962932519
0.67;0.33;0.1;0.43;3383;1.18458;0.856439;0.910728;1.02969;0.00479111;0.120293;0.728565;0.178903;0.00636731;0.995264;./core_324/iter_freqdep_16_9_2016_162624_220301866
0.67;0.33;0.5;0.43;3248;1.20564;0.898435;0.749885;1.06359;0.0188679;0.132089;0.226421;0.406586;0.0492381;0.955365;./core_325/iter_freqdep_16_9_2016_160449_438622032
0.67;0.33;1;0.43;2386;1.22722;0.946381;0.718792;1.08117;-0;-0;-0;0.438;0.062216;0.913823;./core_325/iter_freqdep_16_9_2016_160449_745109750
0.69;0.33;0.1;0.43;3402;1.18474;0.856527;0.90383;1.03011;0.00561551;0.129541;0.721455;0.192423;0.00743403;0.994758;./core_325/iter_freqdep_16_9_2016_160450_102977919
0.69;0.33;0.5;0.43;3181;1.20432;0.896665;0.735424;1.06191;0.021112;0.138116;0.220793;0.42364;0.0553365;0.95237;./core_325/iter_freqdep_16_9_2016_160450_619520851
0.69;0.33;1;0.43;2321;1.22495;0.943686;0.70419;1.07837;-0;-0;-0;0.453348;0.0691446;0.908601;./core_325/iter_freqdep_16_9_2016_160451_167269162
0.71;0.33;0.1;0.43;3420;1.18488;0.856586;0.897014;1.03049;0.00650086;0.138646;0.714424;0.205692;0.00857446;0.99424;./core_325/iter_freqdep_16_9_2016_160451_926389777
