c;pinit;d;v;time;vh_1;vd_1;p;vd_0;rdd;rhd;rhh;f_1;f_0;vh_2;file
0.87;0.33;0.1;0.01;16547;1.00307;0.99667;0.0211435;1.00001;0.756257;0.0355123;0.000414227;0.0416087;0.958077;0.98452;./core_12/iter_freqdep_16_9_2016_160336_58908422
0.87;0.33;0.5;0.01;4597;1.00266;0.996963;0.01708;1.00002;0.320142;0.0140458;0.000147404;0.0337532;0.966042;0.923547;./core_13/iter_freqdep_16_9_2016_160348_709587995
0.87;0.33;1;0.01;3114;1.00255;0.997516;0.0164634;1.00003;-0;-0;-0;0.0325555;0.967254;0.847928;./core_13/iter_freqdep_16_9_2016_160348_998793115
0.89;0.33;0.1;0.01;16306;1.00307;0.99667;0.020775;1.00001;0.757136;0.0349059;0.000399763;0.0408992;0.9588;0.98428;./core_13/iter_freqdep_16_9_2016_160349_184805451
0.89;0.33;0.5;0.01;4533;1.00266;0.996962;0.016812;1.00002;0.320309;0.0138285;0.000142804;0.0332328;0.96657;0.922338;./core_13/iter_freqdep_16_9_2016_160349_805427493
0.89;0.33;1;0.01;3070;1.00255;0.997516;0.0162059;1.00003;-0;-0;-0;0.0320549;0.967762;0.845511;./core_13/iter_freqdep_16_9_2016_160350_18562034
0.91;0.33;0.1;0.01;16076;1.00307;0.99667;0.0204238;1.00001;0.757977;0.0343276;0.00038622;0.0402224;0.959488;0.984042;./core_13/iter_freqdep_16_9_2016_160350_183040961
0.91;0.33;0.5;0.01;4471;1.00266;0.996962;0.0165558;1.00002;0.320469;0.0136207;0.000138477;0.0327352;0.967075;0.921147;./core_13/iter_freqdep_16_9_2016_160350_805911681
0.91;0.33;1;0.01;3028;1.00255;0.997515;0.0159597;1.00003;-0;-0;-0;0.0315761;0.968247;0.843128;./core_13/iter_freqdep_16_9_2016_160351_98208188
0.93;0.33;0.1;0.01;15855;1.00307;0.99667;0.0200888;1.00001;0.75878;0.0337755;0.000373522;0.0395763;0.960146;0.983808;./core_13/iter_freqdep_16_9_2016_160351_355282063
0.93;0.33;0.5;0.01;4412;1.00266;0.996961;0.0163106;1.00002;0.320622;0.0134217;0.000134397;0.0322587;0.967558;0.919971;./core_13/iter_freqdep_16_9_2016_160351_954515673
0.93;0.33;1;0.01;2987;1.00255;0.997514;0.0157242;1.00003;-0;-0;-0;0.0311177;0.968712;0.840778;./core_14/iter_freqdep_16_9_2016_160332_853109709
0.95;0.33;0.1;0.01;15643;1.00307;0.99667;0.0197688;1.00001;0.759549;0.0332479;0.000361597;0.0389588;0.960774;0.983577;./core_14/iter_freqdep_16_9_2016_160332_995564341
0.95;0.33;0.5;0.01;4355;1.00266;0.996961;0.0160758;1.00002;0.320769;0.0132311;0.000130548;0.0318021;0.968021;0.918812;./core_14/iter_freqdep_16_9_2016_160333_573023656
0.95;0.33;1;0.01;2949;1.00255;0.997514;0.0154985;1.00003;-0;-0;-0;0.0306783;0.969157;0.838459;./core_14/iter_freqdep_16_9_2016_160333_811288953
