c;sdmu_h;d;NumGen;v;seed;mu_h;Npatches;runtime;generation;f_0;f_1;f_2;meanphh;meanpdh;varphh;varphd;file
0;0.01;1;100000000000000;0.3;840800756;0.01;4000;0;330393000000;0.23175;0.45325;0.315;0.50148;0.5056;0.043282;0.043602;hpcbatch_09_09_2016_103953/core_34/sim_px_9_9_2016_124523_364418793
0;0.01;0;100000000000000;0.35;71191326;0.01;4000;0;323034000000;0;0.02;0.98;0.98975;0.79495;6.5091e-05;0.0018484;hpcbatch_09_09_2016_103953/core_35/sim_px_9_9_2016_124523_14040822
0;0.01;0.1;100000000000000;0.35;966127349;0.01;4000;0;311227000000;0;0.027;0.973;0.98701;0.73334;0.00011115;0.0014546;hpcbatch_09_09_2016_103953/core_36/sim_px_9_9_2016_124520_930445738
0;0.01;0.25;100000000000000;0.35;532606457;0.01;4000;0;325820000000;0.0005;0.025;0.9745;0.9878;0.73029;6.5361e-05;0.0012013;hpcbatch_09_09_2016_103953/core_37/sim_px_9_9_2016_124523_353732969
0;0.01;0.5;100000000000000;0.35;10273383;0.01;4000;0;333617000000;0.0005;0.021;0.9785;0.98765;0.67351;8.5756e-05;0.011179;hpcbatch_09_09_2016_103953/core_38/sim_px_9_9_2016_124523_906216462
0;0.01;1;100000000000000;0.35;746189121;0.01;4000;0;329724000000;0.2315;0.435;0.3335;0.50412;0.50683;0.04441;0.042997;hpcbatch_09_09_2016_103953/core_39/sim_px_9_9_2016_124522_625655663
0;0.01;0;100000000000000;0.4;921559768;0.01;4000;0;322029000000;0;0.01775;0.98225;0.99056;0.90636;6.3897e-05;0.00074434;hpcbatch_09_09_2016_103953/core_40/sim_px_9_9_2016_124521_894372936
0;0.01;0.1;100000000000000;0.4;323053156;0.01;4000;0;326891000000;0.0005;0.01825;0.98125;0.98805;0.861;7.4849e-05;0.0017006;hpcbatch_09_09_2016_103953/core_41/sim_px_9_9_2016_124524_263580940
0;0.01;0.25;100000000000000;0.4;801559342;0.01;4000;0;328378000000;0;0.0245;0.9755;0.98519;0.87649;0.0001362;0.00028599;hpcbatch_09_09_2016_103953/core_42/sim_px_9_9_2016_124521_738400426
0;0.01;0.5;100000000000000;0.4;360059712;0.01;4000;0;332566000000;0.00125;0.015;0.98375;0.98925;0.8056;0.00010988;0.0027216;hpcbatch_09_09_2016_103953/core_43/sim_px_9_9_2016_124522_321278649
0;0.01;1;100000000000000;0.4;651656494;0.01;4000;0;330866000000;0.209;0.44425;0.34675;0.5042;0.50909;0.044416;0.041574;hpcbatch_09_09_2016_103953/core_44/sim_px_9_9_2016_124523_352822371
0;0.01;0;100000000000000;0.45;528979758;0.01;4000;0;324762000000;0;0.0195;0.9805;0.9871;0.81403;0.00012851;0.0010646;hpcbatch_09_09_2016_103953/core_45/sim_px_9_9_2016_124521_479567545
0;0.01;0.1;100000000000000;0.45;697529062;0.01;4000;0;324309000000;0.00025;0.01725;0.9825;0.98899;0.80928;0.00010213;0.00082953;hpcbatch_09_09_2016_103953/core_46/sim_px_9_9_2016_124523_364265792
0;0.01;0.25;100000000000000;0.45;91583770;0.01;4000;0;327444000000;0.00025;0.0215;0.97825;0.98821;0.80022;0.0001297;0.00084827;hpcbatch_09_09_2016_103953/core_47/sim_px_9_9_2016_124523_14432607
0;0.01;0.5;100000000000000;0.45;425155661;0.01;4000;0;330142000000;0;0.019;0.981;0.98915;0.83534;7.2571e-05;0.0015625;hpcbatch_09_09_2016_103953/core_48/sim_px_9_9_2016_124521_369313280
0;0.01;1;100000000000000;0.45;708309467;0.01;4000;0;322788000000;0.204;0.4415;0.3545;0.50321;0.50762;0.043189;0.042619;hpcbatch_09_09_2016_103953/core_49/sim_px_9_9_2016_124520_670819351
0;0.01;0;100000000000000;0.5;594168270;0.01;4000;0;323436000000;0;0.03125;0.96875;0.98833;0.59139;7.1134e-05;0.0004519;hpcbatch_09_09_2016_103953/core_50/sim_px_9_9_2016_124523_354756868
0;0.01;0.1;100000000000000;0.5;132352589;0.01;4000;0;316817000000;0.00025;0.02;0.97975;0.98996;0.6857;7.0239e-05;0.0011584;hpcbatch_09_09_2016_103953/core_51/sim_px_9_9_2016_124523_911579188
0;0.01;0.25;100000000000000;0.5;766436408;0.01;4000;0;327183000000;0.0005;0.0145;0.985;0.98903;0.91236;7.9545e-05;0.00037202;hpcbatch_09_09_2016_103953/core_52/sim_px_9_9_2016_124522_625665832
0;0.01;0.5;100000000000000;0.5;151041595;0.01;4000;0;327277000000;0.00075;0.02375;0.9755;0.98683;0.81069;0.00011543;0.00067643;hpcbatch_09_09_2016_103953/core_53/sim_px_9_9_2016_124522_116302715
0;0.01;1;100000000000000;0.5;465065958;0.01;4000;0;330629000000;0.19025;0.456;0.35375;0.49685;0.50357;0.041429;0.042323;hpcbatch_09_09_2016_103953/core_54/sim_px_9_9_2016_124524_273125956
0;0.01;0;100000000000000;0.55;761058316;0.01;4000;0;325414000000;0;0.01025;0.98975;0.99187;0.93447;4.2739e-05;0.00036322;hpcbatch_09_09_2016_103953/core_55/sim_px_9_9_2016_124521_738409843
0;0.01;0.1;100000000000000;0.55;400427833;0.01;4000;0;327259000000;0.0005;0.02275;0.97675;0.98958;0.73293;7.0356e-05;0.00079425;hpcbatch_09_09_2016_103953/core_56/sim_px_9_9_2016_124522_321326062
0;0.01;0.25;100000000000000;0.55;569308233;0.01;4000;0;327575000000;0.00025;0.0195;0.98025;0.99174;0.63411;5.1559e-05;0.00031995;hpcbatch_09_09_2016_103953/core_57/sim_px_9_9_2016_124523_350104846
0;0.01;0.5;100000000000000;0.55;569462322;0.01;4000;0;332579000000;0.00025;0.014;0.98575;0.99192;0.83204;5.2298e-05;0.0008513;hpcbatch_09_09_2016_103953/core_58/sim_px_9_9_2016_124521_479519287
0;0.01;1;100000000000000;0.55;758709346;0.01;4000;0;330197000000;0.18525;0.452;0.36275;0.50814;0.50123;0.04196;0.041394;hpcbatch_09_09_2016_103953/core_59/sim_px_9_9_2016_124523_364290536
0;0.01;0;100000000000000;0.6;50889241;0.01;4000;0;322263000000;0;0.012;0.988;0.99358;0.84219;3.3066e-05;0.0012018;hpcbatch_09_09_2016_103953/core_60/sim_px_9_9_2016_124523_14030827
0;0.01;0.1;100000000000000;0.6;487327294;0.01;4000;0;323567000000;0.00025;0.01;0.98975;0.99223;0.7979;3.8033e-05;0.0010772;hpcbatch_09_09_2016_103953/core_61/sim_px_9_9_2016_124521_450967865
0;0.01;0.25;100000000000000;0.6;380898363;0.01;4000;0;324501000000;0;0.01325;0.98675;0.99153;0.96891;4.8991e-05;0.00037809;hpcbatch_09_09_2016_103953/core_62/sim_px_9_9_2016_124521_345013103
0;0.01;0.5;100000000000000;0.6;556419833;0.01;4000;0;332553000000;0;0.01475;0.98525;0.9899;0.8268;7.3811e-05;0.00047135;hpcbatch_09_09_2016_103953/core_63/sim_px_9_9_2016_124520_520045034
0;0.01;1;100000000000000;0.6;429200179;0.01;4000;0;330158000000;0.17475;0.4485;0.37675;0.50582;0.50595;0.042508;0.04155;hpcbatch_09_09_2016_103953/core_64/sim_px_9_9_2016_124523_352651151
0;0.01;0;100000000000000;0.65;71419590;0.01;4000;0;324106000000;0;0.0145;0.9855;0.99076;0.91796;5.5347e-05;0.0006352;hpcbatch_09_09_2016_103953/core_65/sim_px_9_9_2016_124523_908201195
0;0.01;0.1;100000000000000;0.65;770422027;0.01;4000;0;324292000000;0.00025;0.01;0.98975;0.99368;0.62065;3.2157e-05;0.00067715;hpcbatch_09_09_2016_103953/core_66/sim_px_9_9_2016_124520_695098663
0;0.01;0.25;100000000000000;0.65;705340345;0.01;4000;0;327374000000;0.00125;0.01775;0.981;0.99175;0.58046;5.1803e-05;0.0020975;hpcbatch_09_09_2016_103953/core_67/sim_px_9_9_2016_124522_625638675
0;0.01;0.5;100000000000000;0.65;322382399;0.01;4000;0;331984000000;0.00025;0.0125;0.98725;0.98995;0.82996;7.1399e-05;0.0041585;hpcbatch_09_09_2016_103953/core_68/sim_px_9_9_2016_124520_277347694
0;0.01;1;100000000000000;0.65;171151809;0.01;4000;0;329194000000;0.1595;0.46175;0.37875;0.50087;0.50899;0.041731;0.040852;hpcbatch_09_09_2016_103953/core_69/sim_px_9_9_2016_124522_116308159
0;0.01;0;100000000000000;0.7;343119817;0.01;4000;0;326111000000;0;0.01225;0.98775;0.99264;0.81751;6.3986e-05;0.00089951;hpcbatch_09_09_2016_103953/core_70/sim_px_9_9_2016_124524_263714977
0;0.01;0.1;100000000000000;0.7;781121098;0.01;4000;0;324009000000;0.00025;0.01925;0.9805;0.99072;0.67222;8.393e-05;0.00074334;hpcbatch_09_09_2016_103953/core_71/sim_px_9_9_2016_124521_738398423
0;0.01;0.25;100000000000000;0.7;380166689;0.01;4000;0;325030000000;0.00025;0.01275;0.987;0.99027;0.81364;6.9049e-05;0.0013273;hpcbatch_09_09_2016_103953/core_72/sim_px_9_9_2016_124522_321299789
0;0.01;0.5;100000000000000;0.7;996816587;0.01;4000;0;333794000000;0;0.014;0.986;0.99065;0.90967;5.6689e-05;0.0012263;hpcbatch_09_09_2016_103953/core_73/sim_px_9_9_2016_124519_958442373
0;0.01;1;100000000000000;0.7;445375114;0.01;4000;0;332569000000;0.1375;0.45275;0.40975;0.50548;0.51;0.042762;0.040571;hpcbatch_09_09_2016_103953/core_74/sim_px_9_9_2016_124523_348332364
0;0.01;0;100000000000000;0.75;550496196;0.01;4000;0;324582000000;0;0.017;0.983;0.98999;0.86171;5.8419e-05;0.0016231;hpcbatch_09_09_2016_103953/core_75/sim_px_9_9_2016_124521_479519347
0;0.01;0.1;100000000000000;0.75;820610975;0.01;4000;0;324667000000;0;0.011;0.989;0.99253;0.83213;4.5402e-05;0.00077576;hpcbatch_09_09_2016_103953/core_76/sim_px_9_9_2016_124523_364417644
0;0.01;0.25;100000000000000;0.75;112050593;0.01;4000;0;328463000000;0.00025;0.0115;0.98825;0.99258;0.69267;4.452e-05;0.0031792;hpcbatch_09_09_2016_103953/core_77/sim_px_9_9_2016_124523_14432092
0;0.01;0.5;100000000000000;0.75;231460752;0.01;4000;0;330782000000;0;0.0125;0.9875;0.98859;0.87315;6.6699e-05;0.0005587;hpcbatch_09_09_2016_103953/core_78/sim_px_9_9_2016_124521_193493892
