phhinit;c;pdhinit;d;v;time;vh_1;vd_1;vd_0;rdd;pdh;rhd;rhh;f_1;f_0;phh;vh_2;file
0.5;0.25;0.5;0.1;0.01;44037;1.00295;0.996803;1.00015;0.533633;0.181486;0.27166;0.00624966;0.281094;0.706536;9.37891e-05;0.994442;./core_6/iter_freqdep_13_9_2016_141642_45241781
0.5;0.25;0.5;0.2;0.01;19110;1.00291;0.996766;1.00014;0.496513;0.122642;0.164191;0.00173416;0.204801;0.788525;0.000987237;0.988891;./core_6/iter_freqdep_13_9_2016_141644_326428254
0.5;0.25;0.5;0.5;0.01;33137;1.00275;0.99699;1.00014;0.285722;0.0806677;0.0633832;0.000182765;0.141557;0.854667;3.9968e-05;0.972233;./core_6/iter_freqdep_13_9_2016_141645_939564515
0.5;0.25;0.5;1;0.01;5853;1.00262;0.997588;1.0001;-0;0.0328817;-0;-0;0.0861201;0.912074;0.299884;0.944291;./core_6/iter_freqdep_13_9_2016_141649_79014301
0.5;0.27;0.5;0.05;0.01;119961;1.00294;0.996919;1.00017;0.510538;0.278248;0.417879;0.0211533;0.382729;0.592766;7.30912e-05;0.997049;./core_6/iter_freqdep_13_9_2016_141649_763154763
0.5;0.27;0.5;0.1;0.01;51208;1.00295;0.996781;1.00014;0.546113;0.166842;0.252351;0.00500551;0.263541;0.725882;9.37529e-05;0.994038;./core_6/iter_freqdep_13_9_2016_141655_509413995
0.5;0.27;0.5;0.2;0.01;18356;1.00291;0.99675;1.00012;0.505784;0.112692;0.151939;0.00138611;0.190907;0.803417;0.00098708;0.988098;./core_6/iter_freqdep_13_9_2016_141658_231405682
0.5;0.27;0.5;0.5;0.01;32877;1.00274;0.996979;1.00013;0.288467;0.0750193;0.059192;0.000149874;0.132857;0.863874;5.98347e-05;0.970257;./core_6/iter_freqdep_13_9_2016_141659_395238840
0.5;0.27;0.5;1;0.01;5449;1.00261;0.997581;1.00009;-0;0.0306046;-0;-0;0.0807017;0.917736;0.300291;0.940353;./core_6/iter_freqdep_13_9_2016_141701_228680691
0.5;0.29;0.5;0.05;0.01;102076;1.00295;0.996892;1.00016;0.522434;0.258044;0.393407;0.0175612;0.363925;0.614642;6.36659e-05;0.996842;./core_7/iter_freqdep_13_9_2016_141625_82197328
0.5;0.29;0.5;0.1;0.01;53369;1.00296;0.996761;1.00013;0.557585;0.154326;0.235495;0.00406657;0.247943;0.742926;9.37283e-05;0.993642;./core_7/iter_freqdep_13_9_2016_141629_720299275
0.5;0.29;0.5;0.2;0.01;26115;1.00292;0.996736;1.00012;0.512897;0.105473;0.142945;0.00109259;0.180472;0.814581;4.80232e-05;0.987328;./core_7/iter_freqdep_13_9_2016_141632_520637339
0.5;0.29;0.5;0.5;0.01;32897;1.00273;0.996968;1.00013;0.290859;0.0701882;0.0555789;0.000124101;0.125283;0.871856;4.96397e-05;0.968318;./core_7/iter_freqdep_13_9_2016_141634_288633341
0.5;0.29;0.5;1;0.01;5102;1.0026;0.997574;1.00009;-0;0.0286522;-0;-0;0.0760027;0.922631;0.300711;0.936484;./core_7/iter_freqdep_13_9_2016_141636_198099992
0.5;0.31;0.5;0.05;0.01;83338;1.00295;0.996867;1.00015;0.533805;0.240235;0.37107;0.014682;0.346457;0.634703;6.33332e-05;0.99664;./core_7/iter_freqdep_13_9_2016_141636_946374807
0.5;0.31;0.5;0.1;0.01;53444;1.00296;0.996745;1.00012;0.568136;0.143539;0.220708;0.00334746;0.234041;0.758007;9.37122e-05;0.993255;./core_7/iter_freqdep_13_9_2016_141640_845824545
0.5;0.31;0.5;0.2;0.01;28091;1.00292;0.996725;1.00011;0.519666;0.0988022;0.134539;0.000911666;0.170712;0.824939;4.77992e-05;0.986563;./core_7/iter_freqdep_13_9_2016_141643_633002959
0.5;0.31;0.5;0.5;0.01;33200;1.00273;0.99696;1.00012;0.29296;0.0660103;0.0524321;0.000104768;0.118634;0.878838;5.96042e-05;0.966413;./core_7/iter_freqdep_13_9_2016_141645_934153606
0.5;0.31;0.5;1;0.01;4803;1.0026;0.997569;1.00008;-0;0.0269594;-0;-0;0.0718886;0.926905;0.301139;0.932684;./core_7/iter_freqdep_13_9_2016_141648_230439194
0.5;0.33;0.5;0.05;0.01;61123;1.00296;0.996845;1.00014;0.544691;0.224442;0.350664;0.0123596;0.330228;0.653131;8.15506e-05;0.996443;./core_8/iter_freqdep_13_9_2016_141705_356304906
0.5;0.33;0.5;0.1;0.01;52565;1.00296;0.996731;1.00011;0.577856;0.13416;0.207655;0.00278838;0.221596;0.771423;9.37025e-05;0.992875;./core_8/iter_freqdep_13_9_2016_141707_844859144
0.5;0.33;0.5;0.2;0.01;29171;1.00292;0.996715;1.0001;0.525766;0.0929977;0.127157;0.000772053;0.162059;0.834086;7.3804e-05;0.985812;./core_8/iter_freqdep_13_9_2016_141709_731469380
0.5;0.33;0.5;0.5;0.01;33788;1.00272;0.996952;1.00011;0.294822;0.0623613;0.049667;8.96053e-05;0.11275;0.884998;6.96324e-05;0.964541;./core_8/iter_freqdep_13_9_2016_141710_781865138
0.5;0.33;0.5;1;0.01;4541;1.00259;0.997564;1.00008;-0;0.0254779;-0;-0;0.0682569;0.93067;0.30157;0.92895;./core_8/iter_freqdep_13_9_2016_141712_217266327
0.5;0.35;0.5;0.05;0.01;44111;1.00296;0.996827;1.00014;0.553904;0.211797;0.333906;0.0108014;0.316815;0.668166;0.000995281;0.996247;./core_8/iter_freqdep_13_9_2016_141712_617238991
0.5;0.35;0.5;0.1;0.01;51168;1.00297;0.996718;1.0001;0.586821;0.125947;0.196075;0.0023481;0.210416;0.783411;9.36975e-05;0.992503;./core_8/iter_freqdep_13_9_2016_141714_156407968
0.5;0.35;0.5;0.2;0.01;29722;1.00292;0.996706;1.0001;0.531291;0.0879029;0.120627;0.000659822;0.154336;0.842221;7.37224e-05;0.985075;./core_8/iter_freqdep_13_9_2016_141716_12325255
0.5;0.35;0.5;0.5;0.01;34689;1.00272;0.996945;1.0001;0.296483;0.059146;0.0472189;7.64137e-05;0.107505;0.890476;3.91415e-05;0.962703;./core_8/iter_freqdep_13_9_2016_141717_61339014
0.5;0.35;0.5;1;0.01;4310;1.00259;0.997559;1.00007;-0;0.0241704;-0;-0;0.0650275;0.93401;0.302003;0.92528;./core_8/iter_freqdep_13_9_2016_141718_266438267
0.5;0.37;0.5;0.05;0.01;42328;1.00296;0.996812;1.00013;0.561587;0.201996;0.320698;0.00956899;0.306012;0.680263;0.00099374;0.996058;./core_9/iter_freqdep_13_9_2016_141705_346477892
0.5;0.37;0.5;0.1;0.01;49505;1.00297;0.996707;1.00009;0.595103;0.118705;0.185748;0.00199706;0.200334;0.794171;9.36961e-05;0.992139;./core_9/iter_freqdep_13_9_2016_141707_427894107
0.5;0.37;0.5;0.2;0.01;29965;1.00292;0.996698;1.00009;0.536316;0.0833976;0.114812;0.00056955;0.147406;0.849499;7.36516e-05;0.98435;./core_9/iter_freqdep_13_9_2016_141710_93292201
0.5;0.37;0.5;0.5;0.01;35992;1.00272;0.996939;1.0001;0.297974;0.0562931;0.045035;6.72461e-05;0.102803;0.895373;6.95147e-05;0.960895;./core_9/iter_freqdep_13_9_2016_141712_117199891
0.5;0.37;0.5;1;0.01;4105;1.00259;0.997555;1.00007;-0;0.023008;-0;-0;0.062137;0.936994;0.302436;0.921673;./core_9/iter_freqdep_13_9_2016_141713_942392911
0.5;0.39;0.5;0.05;0.01;44022;1.00296;0.996798;1.00013;0.56937;0.192696;0.307983;0.00834164;0.295386;0.692147;9.51865e-05;0.995877;./core_9/iter_freqdep_13_9_2016_141714_272957980
0.5;0.39;0.5;0.1;0.01;47683;1.00298;0.996698;1.00009;0.602765;0.112282;0.176498;0.00171407;0.191211;0.803867;9.36972e-05;0.991781;./core_9/iter_freqdep_13_9_2016_141716_539432459
0.5;0.39;0.5;0.2;0.01;30007;1.00292;0.996691;1.00009;0.540905;0.0793855;0.109602;0.000495516;0.141154;0.856047;6.4787e-05;0.983639;./core_9/iter_freqdep_13_9_2016_141719_27583540
0.5;0.39;0.5;0.5;0.01;37823;1.00271;0.996933;1.00009;0.299319;0.0537435;0.0430761;5.90461e-05;0.0985626;0.899782;6.94649e-05;0.959119;./core_9/iter_freqdep_13_9_2016_141720_461193073
0.5;0.39;0.5;1;0.01;3922;1.00258;0.997552;1.00006;-0;0.0219677;-0;-0;0.0595349;0.939677;0.302867;0.918126;./core_9/iter_freqdep_13_9_2016_141722_324800868
0.5;0.41;0.5;0.05;0.01;58235;1.00297;0.996783;1.00012;0.578466;0.182187;0.29335;0.00720203;0.283143;0.705648;9.51879e-05;0.995696;./core_10/iter_freqdep_13_9_2016_141705_337033164
0.5;0.41;0.5;0.1;0.01;45790;1.00298;0.996689;1.00008;0.609866;0.106551;0.168172;0.00148348;0.182925;0.812642;9.37003e-05;0.991429;./core_10/iter_freqdep_13_9_2016_141708_937168315
0.5;0.41;0.5;0.2;0.01;29940;1.00292;0.996685;1.00008;0.54511;0.0757922;0.10491;0.000435005;0.135489;0.861966;6.47147e-05;0.982939;./core_10/iter_freqdep_13_9_2016_141711_852209445
0.5;0.41;0.5;0.5;0.01;40466;1.00271;0.996928;1.00009;0.30054;0.0514516;0.0413086;5.22502e-05;0.0947192;0.90377;6.94201e-05;0.957373;./core_10/iter_freqdep_13_9_2016_141713_686729602
0.5;0.41;0.5;1;0.01;3757;1.00258;0.997549;1.00006;-0;0.0210314;-0;-0;0.05718;0.942101;0.303296;0.914639;./core_10/iter_freqdep_13_9_2016_141716_19495021
0.5;0.43;0.5;0.05;0.01;65454;1.00297;0.99677;1.00011;0.587176;0.172666;0.279883;0.00625115;0.271735;0.718152;9.51938e-05;0.995518;./core_10/iter_freqdep_13_9_2016_141716_387173518
0.5;0.43;0.5;0.1;0.01;43857;1.00298;0.996681;1.00008;0.61646;0.10141;0.160646;0.00129378;0.175373;0.820614;9.37048e-05;0.991084;./core_10/iter_freqdep_13_9_2016_141720_144113724
0.5;0.43;0.5;0.2;0.01;29801;1.00292;0.99668;1.00008;0.548976;0.0725555;0.100663;0.000384675;0.130333;0.867342;6.46507e-05;0.982251;./core_10/iter_freqdep_13_9_2016_141722_117011820
0.5;0.43;0.5;0.5;0.01;44582;1.00271;0.996924;1.00009;0.301652;0.0493804;0.0397059;4.67989e-05;0.0912202;0.907394;7.95862e-05;0.955656;./core_10/iter_freqdep_13_9_2016_141723_386125312
0.5;0.43;0.5;1;0.01;3607;1.00258;0.997546;1.00006;-0;0.0201842;-0;-0;0.055039;0.944302;0.303722;0.91121;./core_10/iter_freqdep_13_9_2016_141725_263103142
0.5;0.45;0.5;0.05;0.01;69480;1.00298;0.996757;1.00011;0.59551;0.164014;0.267472;0.00545369;0.261099;0.729743;9.52034e-05;0.995344;./core_11/iter_freqdep_13_9_2016_141625_81650043
0.5;0.45;0.5;0.1;0.01;41887;1.00299;0.996675;1.00008;0.622591;0.0967786;0.153817;0.00113633;0.168471;0.827879;9.37103e-05;0.990744;./core_11/iter_freqdep_13_9_2016_141628_633851344
0.5;0.45;0.5;0.2;0.01;29622;1.00292;0.996675;1.00007;0.552542;0.0696254;0.0968008;0.000342882;0.12562;0.872246;7.34452e-05;0.981575;./core_11/iter_freqdep_13_9_2016_141631_55078480
0.5;0.45;0.5;0.5;0.01;52384;1.0027;0.99692;1.00008;0.30267;0.0474992;0.0382462;4.17576e-05;0.0880206;0.910703;6.93427e-05;0.953967;./core_11/iter_freqdep_13_9_2016_141633_315816508
0.5;0.45;0.5;1;0.01;3471;1.00257;0.997543;1.00006;-0;0.0194138;-0;-0;0.0530837;0.946309;0.304144;0.907837;./core_11/iter_freqdep_13_9_2016_141636_319597639
0.5;0.47;0.5;0.05;0.01;71752;1.00298;0.996746;1.0001;0.603482;0.156127;0.256016;0.00478125;0.251174;0.740506;9.5216e-05;0.995174;./core_11/iter_freqdep_13_9_2016_141636_997968743
0.5;0.47;0.5;0.1;0.01;39879;1.00299;0.996669;1.00007;0.628303;0.0925862;0.147597;0.00100456;0.162141;0.834525;9.37166e-05;0.990411;./core_11/iter_freqdep_13_9_2016_141640_743672598
0.5;0.47;0.5;0.2;0.01;29423;1.00292;0.99667;1.00007;0.555842;0.0669608;0.0932746;0.000307108;0.121298;0.876736;7.3407e-05;0.98091;./core_11/iter_freqdep_13_9_2016_141642_947704316
0.5;0.47;0.5;0.5;0.01;7261;1.00088;0.997069;1;0.330875;0.000337635;0.000281769;2.66216e-05;0.000770637;0.999218;0.135675;0.948542;./core_11/iter_freqdep_13_9_2016_141645_805769196
0.5;0.47;0.5;1;0.01;3347;1.00257;0.997541;1.00005;-0;0.0187104;-0;-0;0.0512911;0.948148;0.304562;0.90452;./core_11/iter_freqdep_13_9_2016_141647_58094625
0.5;0.49;0.5;0.05;0.01;72953;1.00298;0.996736;1.0001;0.611106;0.148916;0.245423;0.00421136;0.241903;0.750514;9.5231e-05;0.995006;./core_12/iter_freqdep_13_9_2016_141618_382955194
0.5;0.49;0.5;0.1;0.01;37806;1.00299;0.996663;1.00007;0.633633;0.0887769;0.141913;0.000893449;0.156322;0.84062;9.37233e-05;0.990083;./core_12/iter_freqdep_13_9_2016_141621_779128653
0.5;0.49;0.5;0.2;0.01;29218;1.00292;0.996666;1.00007;0.558903;0.0645274;0.0900426;0.000276593;0.117319;0.880863;7.33726e-05;0.980256;./core_12/iter_freqdep_13_9_2016_141623_678441827
0.5;0.49;0.5;0.5;0.01;5820;1.00065;0.997068;1;0.330886;0.000319158;0.000268357;2.59592e-05;0.000736114;0.999253;0.138448;0.946593;./core_12/iter_freqdep_13_9_2016_141625_411980748
0.5;0.49;0.5;1;0.01;3233;1.00257;0.997539;1.00005;-0;0.0180656;-0;-0;0.0496417;0.949838;0.304976;0.901256;./core_12/iter_freqdep_13_9_2016_141626_166330134
0.5;0.51;0.5;0.05;0.01;73389;1.00299;0.996727;1.00009;0.618386;0.142312;0.235623;0.00372655;0.233245;0.759822;9.52475e-05;0.994842;./core_12/iter_freqdep_13_9_2016_141626_756594697
0.5;0.51;0.5;0.1;0.01;35648;1.00299;0.996658;1.00007;0.638615;0.0853011;0.1367;0.00079905;0.150954;0.84623;9.37304e-05;0.989761;./core_12/iter_freqdep_13_9_2016_141630_667869457
0.5;0.51;0.5;0.2;0.01;29014;1.00292;0.996662;1.00007;0.561751;0.0622964;0.0870698;0.000249966;0.113645;0.884668;6.44558e-05;0.979612;./core_12/iter_freqdep_13_9_2016_141633_73514643
